Designator,Mid X,Mid Y,Rotation,Comment,Footprint,Layer
+5V,48.7,2.4,180, white, SML0603,T
C1,56,35,180, 0.1u, C0603,T
C10,52,18,0, 10u, C0603,T
C11,9,30,270, 1u/50v, C0805,T
C12,10,20,0, 100u/50v, 140CLH-0810,T
C13,41.6,49.7,0, 0.1u, C0603,T
C14,66,24,0, 0.1u, C0603,T
C15,41.6,41.7,180, 0.1u, C0603,T
C16,38.5,43,90, NC/1n, C0603,T
C17,36.3,43,90, NC/1n, C0603,T
C18,32,37,180, NC/1n, C0603,T
C19,37.9,47.6,180, 0.1u, C0603,T
C2,56,27,180, 0.1u, C0603,T
C20,8.8,33.3,180, 10u, C0603,T
C21,32,34.9,180, 10n, C0603,T
C22,32,32.8,180, 10n, C0603,T
C23,32,30.7,180, 10n, C0603,T
C24,65.6,60,270, 10n, C0603,T
C25,85,46,270, 10u, C0603,T
C26,21,20,180, nc/100u/50v, 140CLH-0810,T
C27,11.2,14,180, 4.7u/50v, C0805,T
C28,93,39,270, 0.1u, C0603,T
C29,33.2,46.9,90, 0.1u, C0603,T
C3,3,9,270, 1n, C0603,T
C30,44.8,19,90, 0.1u, C0603,T
C31,83,16,270, 0.1u, C0603,T
C32,89,16,270, 0.1u, C0603,T
C33,32,26.5,0, 0.1u, C0603,T
C34,48.1,43,270, 0.1u, C0603,T
C4,22,7,90, 10u/35v, C1206,T
C40,57,52,270, 4.7u, C0805,T
C41,52,55,0, 0.1u, C0603,T
C43,93.2,44.49,270, 0.1u, C0603,T
C44,83,51,0, 0.1u, C0603,T
C45,82,43.7,180, 10u, C0603,T
C5,34,12,270, 220p, C0603,T
C6,9,26.3,270, 50v/470n, C0603,T
C7,46.7,7,90, 47u/16v, C1206,T
C8,28,6,0, 0.1u, C0603,T
C9,49,14.7,90, 0.1u, C0603,T
D1,28,3,180, ss54, DO214BA,T
DIAG,35,63,270, , SML0603,T
F1,51.28,7.06,270, 1.25A, R1206,T
F2,64,3,270, 1.25A, R1206,T
FB1,77,56,180, 600R @100M, R0805,T
L1,38,5,0, 15u, RCL_L_CDRH8D38,T
L3,41.6,43.9,180, 100nH, R0603,T
PTC1,71,18.9,0, 200mA, R0805,T
PTC2,71,21,0, 200mA, R0805,T
R1,97,9,90, 1M, R0603,T
R10,63.3,60,90, 12k, R0603,T
R11,69,11.2,0, 10R, R0603,T
R12,69,9,180, 470R, R0603,T
R13,46,43,270, 4k7, R0603,T
R14,37.3,59,270, 4k7, R0603,T
R15,35,59,270, 4k7, R0603,T
R16,71,16.7,0, 4k7, R0603,T
R17,71,23.2,180, 4k7, R0603,T
R18,31.6,43.9,180, 470R, R0603,T
R19,28.4,43.9,0, 470R, R0603,T
R2,21.9,11.6,270, 120k, R0603,T
R20,41.6,47.6,180, 100R, R0603,T
R3,36.1,12,90, 120k, R0603,T
R31,87.9,52,270, 10R, R0603,T
R4,39,12,270, 120k, R0603,T
R40,57,47.6,270, 47k, R0603,T
R41,90.1,52,270, 10R, R0603,T
R42,93.2,48,270, 10k, R0603,T
R43,83,53.3,180, 10k, R0603,T
R5,41.2,12,90, 22k, R0603,T
R6,43.4,12,270, 470R, R0603,T
R7,45.5,2.4,0, 10k, R0603,T
R9,61,60,270, 100k, R0603,T
RN1,29.4,40.4,0, 10k, EXB38V,T
RN3,29,59,180, 4k7, EXB38V,T
RN4,29,51,180, 4k7, EXB38V,T
RN5,29,55,180, 1k, EXB38V,T
S3,67.56,45.34,180, 219-06SMD_2.54_6, SMD-2.54-6,T
SYS,37.3,63,270, , SML0603,T
TVS1,76.1,20,270, SM712, SOT23,T
TVS2,86,16,0, PESD33, RCL_SOT23,T
U1,28,10,90, MP2560, SOIC-8E,T
U10,37.7,50.5,180, AZ431AN-ATRE1, SOT95P237X112-3N,T
U11,53.02,49.03,0, DRV8871, 8HSOIC,T
U12,30,47,0, OPA374AIDBVR, SOT95P280X145-5N,T
U2,52,14.8,180, MCP1702T-3302E/CB, SOT95P255X145-3N,T
U3,44.36,31.43,0, ATXMEGA64A3-AU, TQFP-64A-64,T
U4,64.25,19.94,0, SP3485EN-L/TR, SOIC127P600X175-8N,T
U5,73,10,270, SI2366DS-T1-GE3, SOT95P237X112-3N,T
U6,82,47,0, MCP1702T-3302E/CB, SOT95P255X145-3N,T
U7,89,48,0, FT234XD, DFN12,T
U8,89,39,270, SP3485EN-L/TR, SOIC127P600X175-8N,T
U9,15.8,31.04,180, MP6540, QFN-26,T
USBPWR,80,52,90, yellow, SML0603,T
